stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
586,5000301,Burke Centre Pkwy+Powells Landing Rd,,38.791199,-77.307175,,
587,5000302,Burke Centre Pkwy+Cove Landing Rd,,38.791298,-77.306999,,
594,5000308,Forrester Bl+Surrey Hill Pl,,38.791653,-77.235306,,
596,5000309,Forrester Bl+Surrey Hill Pl,,38.791664,-77.234734,,
598,5000310,Forrester Bl+Lakinhurst Ln,,38.791893,-77.238586,,
599,5000311,Burr Oak Wy+Carters Oak Wy,,38.791924,-77.321175,,
601,5000312,Forrester Bl+Royal Ridge Dr,,38.791965,-77.238747,,
603,5000314,Forrester Bl+Queenston St,,38.792038,-77.237206,,
604,5000315,Forrester Bl+Rexford Dr,,38.792068,-77.236565,,
609,5000320,Burke Centre Pkwy+Burnside Landing Dr,,38.792603,-77.310051,,
610,5000321,Burke Centre Pkwy+Waters Edge Landing Ln,,38.79266,-77.309731,,
615,3000276,Lindsay Rd+Wilmette Dr,,38.792969,-76.991646,,
622,3000280,Lindsay Rd+Jarrett Av,,38.793213,-76.988419,,
623,3000281,Leyte Dr+Lindsay Rd,,38.793221,-76.992081,,
625,3000282,Lindsay Rd+Jarrett Av,,38.793266,-76.988342,,
642,5000333,Burr Oak Wy+Oakland Pk Dr,,38.794231,-77.317955,,
643,5000334,Clara Barton Dr+#10990,,38.79427,-77.325233,,
644,3000290,Leyte Dr+#6902,,38.794331,-76.991653,,
646,3000291,Leyte Dr+#6903,,38.79443,-76.991699,,
653,4000003,S Washington St+Church St,,38.79493,-77.04924,,
659,5000343,Burke Centre Pkwy+Burnside Landing,,38.795502,-77.313736,,
660,5000344,Burke Centre Pkwy+Oak Leather Dr,,38.795517,-77.313492,,
666,3000297,Leyte Dr+Shelby Dr,,38.795811,-76.991302,,
667,3000298,Leyte Dr+Shelby Dr,,38.79591,-76.991234,,
668,3000299,Wentworth Dr+Haven Av,,38.795971,-76.989494,,
669,4000004,S Washington St+Green St,,38.796017,-77.048935,,
670,3000300,Wentworth Dr+Haven Av,,38.796028,-76.989555,,
672,3000301,Wentworth Dr+#1123,,38.796131,-76.987427,,
673,4000005,S Washington St+Green St,,38.79623,-77.04879,,
674,3000302,Wentworth Dr+Devonshire Dr,,38.796253,-76.98568,,
677,3000304,Wentworth Dr+Westfield Dr,,38.796421,-76.985275,,
678,5000350,Oak Leather Dr+Oakenshaw Ct,,38.79644,-77.31678,,
684,4000006,S Washington St+Jefferson St,,38.797203,-77.048698,,
